KD_PROV,KD_KABKOTA,PROVINSI,KABKOTA,kdprov,kdkab,nmprov,nmkab,thn_prior,PCT_STUNTING_2013,PCT_STUNTING_2018
11,1101,ACEH,Simeulue,11,1109,ACEH,Kab. Simeulue,2020,49.86,47.3
11,1102,ACEH,Aceh Singkil,11,1110,ACEH,Kab. Aceh Singkil,2022,40.41,26.9
11,1103,ACEH,Aceh Selatan,11,1101,ACEH,Kab. Aceh Selatan,2022,41.74,35.9
11,1104,ACEH,Aceh Tenggara,11,1102,ACEH,Kab. Aceh Tenggara,2020,29.33,45.3
11,1105,ACEH,Aceh Timur,11,1103,ACEH,Kab. Aceh Timur,2019,39.31,42.8
11,1106,ACEH,Aceh Tengah,11,1104,ACEH,Kab. Aceh Tengah,2018,59.25,39.8
11,1107,ACEH,Aceh Barat,11,1105,ACEH,Kab. Aceh Barat,2022,40.9,32.6
11,1108,ACEH,Aceh Besar,11,1106,ACEH,Kab. Aceh Besar,2021,36.49,38.7
11,1109,ACEH,Pidie,11,1107,ACEH,Kab. Pidie,2018,57.47,36.2
11,1110,ACEH,Bireuen,11,1111,ACEH,Kab. Bireuen,2020,39.41,41
11,1111,ACEH,Aceh Utara,11,1108,ACEH,Kab. Aceh Utara,2021,43.52,32.5
11,1112,ACEH,Aceh Barat Daya,11,1112,ACEH,Kab. Aceh Barat Daya,2022,50.23,35.4
11,1113,ACEH,Gayo Lues,11,1113,ACEH,Kab. Gayo Lues,2020,49.71,44.4
11,1114,ACEH,Aceh Tamiang,11,1116,ACEH,Kab. Aceh Tamiang,2021,45.02,33.4
11,1115,ACEH,Nagan Raya,11,1115,ACEH,Kab. Nagan Raya,2020,33.22,40.6
11,1116,ACEH,Aceh Jaya,11,1114,ACEH,Kab. Aceh Jaya,2022,34.68,34
11,1117,ACEH,Bener Meriah,11,1117,ACEH,Kab. Bener Meriah,2020,46.86,45.9
11,1118,ACEH,Pidie Jaya,11,1118,ACEH,Kab. Pidie Jaya,2022,39.9,36.8
11,1171,ACEH,Kota Banda Aceh,11,1171,ACEH,Kota Banda Aceh,2022,30.71,26.6
11,1172,ACEH,Kota Sabang,11,1172,ACEH,Kota Sabang,2022,38.29,23.5
11,1173,ACEH,Kota Langsa,11,1174,ACEH,Kota Langsa,2022,29.33,27.5
11,1174,ACEH,Kota Lhokseumawe,11,1173,ACEH,Kota Lhokseumawe,2022,27.46,35.4
11,1175,ACEH,Kota Subulussalam,11,1175,ACEH,Kota Subulussalam,2020,48.49,49.6
12,1201,SUMATERA UTARA,Nias,12,1204,SUMATERA UTARA,Kab. Nias,2020,46.97,61.3
12,1202,SUMATERA UTARA,Mandailing Natal,12,1213,SUMATERA UTARA,Kab. Mandailing Natal,2020,48.29,48.3
12,1203,SUMATERA UTARA,Tapanuli Selatan,12,1203,SUMATERA UTARA,Kab. Tapanuli Selatan,2022,48.41,28.8
12,1204,SUMATERA UTARA,Tapanuli Tengah,12,1201,SUMATERA UTARA,Kab. Tapanuli Tengah,2020,49.69,43.7
12,1205,SUMATERA UTARA,Tapanuli Utara,12,1202,SUMATERA UTARA,Kab. Tapanuli Utara,2021,46.39,38.3
12,1206,SUMATERA UTARA,Toba Samosir,12,1212,SUMATERA UTARA,Kab. Toba Samosir,2022,41.79,29.7
12,1207,SUMATERA UTARA,Labuhan Batu,12,1210,SUMATERA UTARA,Kab. Labuhanbatu,2021,36.92,36.4
12,1208,SUMATERA UTARA,Asahan,12,1209,SUMATERA UTARA,Kab. Asahan,2021,45.93,24.9
12,1209,SUMATERA UTARA,Simalungun,12,1208,SUMATERA UTARA,Kab. Simalungun,2019,34.05,28.4
12,1210,SUMATERA UTARA,Dairi,12,1211,SUMATERA UTARA,Kab. Dairi,2020,44.3,40.2
12,1211,SUMATERA UTARA,Karo,12,1206,SUMATERA UTARA,Kab. Karo,2021,43.33,29.6
12,1212,SUMATERA UTARA,Deli Serdang,12,1207,SUMATERA UTARA,Kab. Deli Serdang,2020,37.68,25.7
12,1213,SUMATERA UTARA,Langkat,12,1205,SUMATERA UTARA,Kab. Langkat,2018,55.48,31.6
12,1214,SUMATERA UTARA,Nias Selatan,12,1214,SUMATERA UTARA,Kab. Nias Selatan,2020,37.06,45.1
12,1215,SUMATERA UTARA,Humbang Hasundutan,12,1216,SUMATERA UTARA,Kab. Humbang Hasundutan,2021,48.58,41.3
12,1216,SUMATERA UTARA,Pakpak Bharat,12,1215,SUMATERA UTARA,Kab. Pakpak Bharat,2020,52.3,45.6
12,1217,SUMATERA UTARA,Samosir,12,1217,SUMATERA UTARA,Kab. Samosir,2022,49.15,24.4
12,1218,SUMATERA UTARA,Serdang Bedagai,12,1218,SUMATERA UTARA,Kab. Serdang Bedagai,2021,44.66,36
12,1219,SUMATERA UTARA,Batu Bara,12,1219,SUMATERA UTARA,Kab. Batu Bara,2021,54.79,23.7
12,1220,SUMATERA UTARA,Padang Lawas Utara,12,1220,SUMATERA UTARA,Kab. Padang Lawas Utara,2020,46.91,47.5
12,1221,SUMATERA UTARA,Padang Lawas,12,1221,SUMATERA UTARA,Kab. Padang Lawas,2018,54.86,42.9
12,1222,SUMATERA UTARA,Labuhan Batu Selatan,12,1222,SUMATERA UTARA,Kab. Labuhanbatu Selatan,2021,46.63,34.9
12,1223,SUMATERA UTARA,Labuhan Batu Utara,12,1223,SUMATERA UTARA,Kab. Labuhanbatu Utara,2021,44.75,31.2
12,1224,SUMATERA UTARA,Nias Utara,12,1224,SUMATERA UTARA,Kab. Nias Utara,2018,54.83,45.5
12,1225,SUMATERA UTARA,Nias Barat,12,1225,SUMATERA UTARA,Kab. Nias Barat,2020,50.42,45.9
12,1271,SUMATERA UTARA,Kota Sibolga,12,1273,SUMATERA UTARA,Kota Sibolga,2022,34.09,23.4
12,1272,SUMATERA UTARA,Kota Tanjung Balai,12,1274,SUMATERA UTARA,Kota Tanjung Balai,2022,42.16,35.9
12,1273,SUMATERA UTARA,Kota Pematang Siantar,12,1272,SUMATERA UTARA,Kota Pematang Siantar,2022,35.16,20.5
12,1274,SUMATERA UTARA,Kota Tebing Tinggi,12,1276,SUMATERA UTARA,Kota Tebing Tinggi,2022,30.06,25.9
12,1275,SUMATERA UTARA,Kota Medan,12,1271,SUMATERA UTARA,Kota Medan,2020,34.91,27
12,1276,SUMATERA UTARA,Kota Binjai,12,1275,SUMATERA UTARA,Kota Binjai,2022,36.87,28.3
12,1277,SUMATERA UTARA,Kota Padangsidimpuan,12,1277,SUMATERA UTARA,Kota Padangsidimpuan,2021,48.77,39.8
12,1278,SUMATERA UTARA,Kota Gunungsitoli,12,1278,SUMATERA UTARA,Kota Gunungsitoli,2018,52.32,40.4
13,1301,SUMATERA BARAT,Kepulauan Mentawai,13,1309,SUMATERA BARAT,Kab. Kepulauan Mentawai,2022,40.9,32.4
13,1302,SUMATERA BARAT,Pesisir Selatan,13,1301,SUMATERA BARAT,Kab. Pesisir Selatan,2021,50,26.5
13,1303,SUMATERA BARAT,Solok,13,1302,SUMATERA BARAT,Kab. Solok,2019,42.02,41.5
13,1304,SUMATERA BARAT,Sijunjung,13,1303,SUMATERA BARAT,Kab. Sijunjung,2021,37.2,35
13,1305,SUMATERA BARAT,Tanah Datar,13,1304,SUMATERA BARAT,Kab. Tanah Datar,2022,38.79,26.3
13,1306,SUMATERA BARAT,Padang Pariaman,13,1305,SUMATERA BARAT,Kab. Padang Pariaman,2021,41.04,26.1
13,1307,SUMATERA BARAT,Agam,13,1306,SUMATERA BARAT,Kab. Agam,2021,29.96,30
13,1308,SUMATERA BARAT,Lima Puluh Kota,13,1307,SUMATERA BARAT,Kab. Lima Puluh Kota,2020,28.75,40.1
13,1309,SUMATERA BARAT,Pasaman,13,1308,SUMATERA BARAT,Kab. Pasaman,2018,55.2,40.6
13,1310,SUMATERA BARAT,Solok Selatan,13,1311,SUMATERA BARAT,Kab. Solok Selatan,2022,48.63,27.7
13,1311,SUMATERA BARAT,Dharmasraya,13,1310,SUMATERA BARAT,Kab. Dharmasraya,2022,40.35,
13,1312,SUMATERA BARAT,Pasaman Barat,13,1312,SUMATERA BARAT,Kab. Pasaman Barat,2018,51.54,35.1
13,1371,SUMATERA BARAT,Kota Padang,13,1371,SUMATERA BARAT,Kota Padang,2021,33.69,22.4
13,1372,SUMATERA BARAT,Kota Solok,13,1372,SUMATERA BARAT,Kota Solok,2022,30.7,23.6
13,1373,SUMATERA BARAT,Kota Sawah Lunto,13,1373,SUMATERA BARAT,Kota Sawahlunto,2022,22.5,20.6
13,1374,SUMATERA BARAT,Kota Padang Panjang,13,1374,SUMATERA BARAT,Kota Padang Panjang,2022,28.47,27.2
13,1375,SUMATERA BARAT,Kota Bukittinggi,13,1375,SUMATERA BARAT,Kota Bukittinggi,2022,28.47,17.2
13,1376,SUMATERA BARAT,Kota Payakumbuh,13,1376,SUMATERA BARAT,Kota Payakumbuh,2022,30.43,19.2
13,1377,SUMATERA BARAT,Kota Pariaman,13,1377,SUMATERA BARAT,Kota Pariaman,2022,43.99,17.8
14,1401,RIAU,Kuantan Singingi,14,1409,RIAU,Kab. Kuantan Singingi,2022,38.75,24.6
14,1402,RIAU,Indragiri Hulu,14,1402,RIAU,Kab. Indragiri Hulu,2021,40.43,32.2
14,1403,RIAU,Indragiri Hilir,14,1404,RIAU,Kab. Indragiri Hilir,2021,39.95,32.2
14,1404,RIAU,Pelalawan,14,1405,RIAU,Kab. Pelalawan,2020,44.39,25.5
14,1405,RIAU,Siak,14,1408,RIAU,Kab. Siak,2021,24.39,21
14,1406,RIAU,Kampar,14,1401,RIAU,Kab. Kampar,2019,31.99,32
14,1407,RIAU,Rokan Hulu,14,1406,RIAU,Kab. Rokan Hulu,2018,59.01,27.2
14,1408,RIAU,Bengkalis,14,1403,RIAU,Kab. Bengkalis,2021,26.95,32.3
