"Nama_Kabupaten","Indeks_Pangan","Konsumsi_Protein","Stunting_2018"
"aceh barat",72.26,74.4,32.6
"aceh barat daya",71.29,60.4,35.4
"aceh besar",65.51,61.5,38.7
"aceh jaya",79.57,68.5,34
"aceh selatan",71.69,61.8,35.9
"aceh singkil",74.35,62.2,26.9
"aceh tamiang",74.67,57.7,33.4
"aceh tengah",72.54,66.9,39.8
"aceh tenggara",48.22,63.1,45.3
"aceh timur",67.24,59.3,42.8
"aceh utara",77.77,55,32.5
"agam",76.69,57,30
"alor",62.09,56.2,45.5
"asahan",79.1,61.9,24.9
"asmat",27.91,50.1,32.6
"badung",86.45,63.2,25.2
"balangan",82.46,71.8,36.2
"bandung",74.37,66.6,35.2
"bandung",74.37,61.6,35.2
"bandung barat",70.84,57.3,36.7
"banggai",44.84,57.1,31.9
"banggai kepulauan",66.85,52.9,40.5
"banggai laut",45.42,56.8,34.2
"bangka",57.03,66.5,23.9
"bangka barat",66.21,65,33.3
"bangka selatan",63.99,62,26.9
"bangka tengah",55.81,63.7,26.1
"bangkalan",67.65,54.2,41.9
"bangli",77.33,61.6,43.1
"banjar",81.73,68.5,33.4
"banjar",81.73,75.2,33.4
"banjarnegara",72.35,63.6,24.1
"bantaeng",82.1,61.9,21
"bantul",76.48,63.1,22.9
"banyumas",73.99,63.1,32
"banyuwangi",78.93,60.7,32
"barito kuala",77.99,68.3,34.1
"barito selatan",72.28,64.5,40.2
"barito timur",66.4,64.9,42.1
"barito utara",77.78,57.4,34.6
"barru",77.17,61.5,34.1
"batang",77.1,68.4,25.3
"batang hari",66.56,66,32.8
"batu bara",77.77,62.2,23.7
"bekasi",80.65,64.5,26.4
"bekasi",80.65,68.9,26.4
"belitung",57.67,64.1,19.9
"belitung timur",57.32,67.4,14.7
"belu",53.86,56.8,46.8
"bener meriah",44.28,65.8,45.9
"bengkalis",66.21,57.5,32.3
"bengkayang",68.92,56.4,31.9
"bengkulu selatan",71.55,59.6,33.7
"bengkulu tengah",72.63,66.9,23.3
"bengkulu utara",72.92,60.6,26.8
"berau",79.5,64.4,31.7
"bima",75.15,65.8,32
"bima",75.15,71.6,32
"bintan",55.75,62.1,21.5
"bireuen",69.77,66.3,41
"blitar",78.64,60.6,27.4
"blitar",78.64,55,27.4
"blora",81.3,60.1,32.9
"boalemo",72.79,57.7,44.8
"bogor",67.56,61,32.9
"bogor",67.56,59.5,32.9
"bojonegoro",81.4,57.1,34.9
"bolaang mongondow",78.36,61.4,28.9
"bolaang mongondow selatan",77.77,54.6,33.3
"bolaang mongondow timur",64.9,62.3,26.3
"bolaang mongondow utara",48.88,60.2,22.2
"bombana",76.03,57.8,33.9
"bondowoso",70.03,61,38
"bone",81.32,58.5,37.3
"bone bolango",71.29,53.5,29.1
"boven digoel",50.69,48.2,39.7
"boyolali",80.36,54.1,28.5
"brebes",72.55,62.9,38.5
"buleleng",78.03,61.9,20.5
"bulukumba",77.88,60.1,36.2
"bulungan",79.4,64.8,31.2
"bungo",79.19,58.2,20.7
"buol",68.36,47.3,34.2
"buru",72.24,52.8,27
"buru selatan",56.9,44.9,26.8
"buton",79.96,57.3,34.9
